call,qsos_submitted,qsos_dropped,qsos_valid,cw_qso,cw_qso_pts,ph_qso,ph_qso_pts,total_qso_pts,gs_1,gs_3,gs_7,gs_14,gs_21,gs_28,gs_50,total_gs,operated_totality,operated_outdoors,operated_public,ground_conductivity,antenna_design,erpd,skimmers,iq_data,spot_bonus,total
AA1K,56,0,56,56,112,0,0,112,18,0,0,29,2,0,0,49,100,100,100,50,0,0,0,0,90,5928
AA3B,680,0,680,680,1360,0,0,1360,1,23,99,160,12,1,0,296,100,100,100,50,100,300,0,0,656,403966
AA3WB,24,0,24,0,0,24,24,24,0,0,14,6,0,0,0,20,100,100,100,50,100,0,0,0,0,930
AA4LR,61,1,60,52,104,8,8,112,0,0,20,29,4,1,0,54,100,100,100,50,0,200,0,0,96,6694
AA5AD,27,0,27,27,54,0,0,54,0,0,0,19,0,0,0,19,100,100,100,0,0,0,0,0,38,1364
AA5VN,21,0,21,21,42,0,0,42,0,0,0,15,0,0,0,15,100,100,100,0,0,0,0,0,48,978
AA9K,18,0,18,18,36,0,0,36,0,0,13,0,0,0,0,13,100,100,100,50,0,0,0,0,10,828
AB1J,27,0,27,27,54,0,0,54,0,0,13,1,0,0,0,14,100,100,100,50,0,0,0,0,19,1125
AB3GY,79,1,78,78,156,0,0,156,0,0,51,1,0,0,0,52,100,100,100,50,0,100,100,0,232,8894
AB3RU,8,0,8,8,16,0,0,16,0,0,4,4,0,0,0,8,100,100,100,50,0,0,0,0,9,487
AB4VT,14,0,14,10,20,4,4,24,0,0,2,12,0,0,0,14,100,100,100,50,0,100,0,0,44,830
AB5J,172,0,172,13,26,159,159,185,0,0,0,95,0,0,0,95,100,100,100,50,100,100,0,0,111,18236
AB5XM,6,0,6,6,12,0,0,12,0,0,0,6,0,0,0,6,100,100,100,50,0,0,0,0,113,535
AB7WP,4,0,4,0,0,4,4,4,0,1,3,0,0,0,0,4,100,100,100,50,0,0,0,0,0,366
AB9CA,54,0,54,54,108,0,0,108,0,0,35,0,0,0,0,35,100,100,100,0,0,0,0,0,46,4126
AB9PR,10,0,10,0,0,10,10,10,0,0,0,9,0,0,0,9,100,100,100,50,0,0,0,0,0,440
AB9YC,100,0,100,100,200,0,0,200,0,1,20,46,0,0,0,67,100,100,100,0,0,0,0,0,157,13857
AB9ZZ,37,1,36,36,72,0,0,72,0,0,0,29,0,0,0,29,100,100,100,0,0,0,0,0,14,2402
AC0PR,18,0,18,18,36,0,0,36,0,0,0,17,0,0,0,17,100,100,100,0,0,0,0,0,10,922
AC7AF,49,0,49,49,98,0,0,98,0,0,7,33,1,0,0,41,100,100,100,0,100,0,0,0,74,4492
AC8JW,14,0,14,14,28,0,0,28,0,0,3,11,0,0,0,14,100,100,100,50,0,0,0,0,21,763
AC9AK,13,0,13,7,14,6,6,20,0,0,0,12,0,0,0,12,100,100,100,50,0,0,0,0,2,592
AD0P,86,61,25,22,44,3,3,47,0,0,0,1,0,0,0,1,100,100,100,50,0,50,50,0,579,1076
AD0TA,36,18,18,18,36,0,0,36,0,0,0,18,0,0,0,18,100,100,100,50,0,50,0,0,95,1143
AD4TJ,30,15,15,15,30,0,0,30,0,0,0,11,0,0,0,11,100,100,100,50,100,50,0,0,24,854
AD5KZ,4,2,2,0,0,2,2,2,0,0,0,2,0,0,0,2,100,100,100,50,0,0,0,0,0,354
AD5XD,82,8,74,74,148,0,0,148,0,0,0,53,0,0,0,53,100,100,100,50,0,50,0,0,221,8465
